,INSP_UNIT_MAKE,0,1,2,3,4,5,6,7,total_count
1892,LDTL,13.0,9.0,9.0,91.0,19.0,54.0,13.0,38.0,233.0
592,CHVL,13.0,8.0,9.0,90.0,11.0,48.0,26.0,36.0,228.0
1197,FRE,10.0,42.0,17.0,23.0,21.0,17.0,47.0,48.0,215.0
2707,REIT,6.0,71.0,25.0,31.0,10.0,32.0,15.0,30.0,214.0
1459,HMDE,12.0,10.0,10.0,63.0,20.0,51.0,20.0,38.0,212.0
3673,WHGM,17.0,69.0,10.0,27.0,11.0,22.0,47.0,26.0,212.0
1418,HDSN,12.0,6.0,5.0,68.0,8.0,58.0,37.0,22.0,204.0
1799,KNNW,16.0,70.0,13.0,32.0,6.0,26.0,27.0,29.0,203.0
2512,PJ TR,14.0,5.0,11.0,72.0,16.0,61.0,12.0,19.0,196.0
3213,TITA,19.0,18.0,11.0,71.0,11.0,42.0,23.0,19.0,195.0
1438,HHTC,12.0,2.0,2.0,99.0,14.0,45.0,16.0,15.0,193.0
1008,ELIT,4.0,4.0,14.0,76.0,13.0,44.0,14.0,16.0,181.0
1761,KENT,17.0,52.0,16.0,42.0,8.0,5.0,29.0,27.0,179.0
963,EADU,11.0,24.0,12.0,42.0,24.0,22.0,21.0,33.0,178.0
2075,MAXE,12.0,5.0,5.0,77.0,21.0,36.0,17.0,15.0,176.0
964,EAGB,7.0,24.0,10.0,40.0,11.0,43.0,29.0,18.0,175.0
1164,FONT,3.0,45.0,5.0,9.0,12.0,19.0,43.0,36.0,169.0
2303,NISS,13.0,13.0,12.0,45.0,17.0,10.0,39.0,31.0,167.0
1230,FRT,15.0,38.0,8.0,43.0,11.0,17.0,17.0,31.0,165.0
779,CUSM,18.0,2.0,11.0,50.0,19.0,42.0,18.0,19.0,161.0
1533,HYUN,11.0,74.0,10.0,7.0,9.0,5.0,30.0,23.0,158.0
268,BENS,16.0,35.0,17.0,16.0,1.0,30.0,30.0,25.0,154.0
27,ACE,18.0,76.0,6.0,12.0,6.0,1.0,27.0,26.0,154.0
525,CAT,12.0,26.0,13.0,32.0,11.0,20.0,16.0,34.0,152.0
1205,FREI,5.0,41.0,11.0,32.0,11.0,11.0,28.0,17.0,151.0
1285,GATP,10.0,6.0,7.0,53.0,5.0,37.0,12.0,31.0,151.0
3412,TRVS,10.0,38.0,20.0,20.0,16.0,5.0,33.0,14.0,146.0
